"",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Thank you Jim Acosta for being the Reluctant Hero we all need,positive
I am officially a single-issue voter until the COVID-19 restrictions go away. I just got a flyer for a city commission…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Why, I believe Facebook should be taxed until it nips, for a “misinformation supporting/facilitating” reparations fund. They can’t control themselves or Karen.",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Bless your heart ❤️..you tried the\"Polio\" excuse..ok fine, did you have to \"pick\" the right COVID-19 vax while you were a child and NEVER TAKE IT AGAIN, like the \" Vaccine\" for polio?",positive
"In more than a year and a half since the first Covid case was detected in Seattle, America’s death toll has climbed steadily, Today, COVID-19 surpasses 1918 flu as ~deadliest pandemic~ in U.S. history with 700,000 Americans dead from COVID-19. GetVaxxed❗️",negative
Oh dear.,negative
Kids kids kids… get COVID19… reckless endangerment of leaders like  to put kids at risk! Look at that damn gr…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
Maine 22 percent,positive
*…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Thomas, 15, high school student.",positive
"",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
Pennsylvania 19…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
↓,neutral
This will go into effect following full…,positive
"Globally, one-third of women have faced physical or mental violence. During the COVID-19 pandemic, Gender-based Violence and Intimate Partner Violence has grown and become ShadowPandemic.",negative
This will go into effect following full…,positive
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoreti…",negative
Thoughts and prayers for Miss COVID,negative
*Update on COVID-19 Vaccine Availability in States/UTs*,negative
"NEW CASES 2,909",positive
Super simple poll.,positive
👈🏼💦,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
California to require COVID-19 vaccines for schoolchildren,negative
California to require COVID-19 vaccines for schoolchildren,negative
California to require COVID-19 vaccines for schoolchildren,negative
"Why, I believe Facebook should be taxed until it nips, for a “misinformation supporting/facilitating” reparations fund. Th…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"On average, more than 270 Texas COVID-19 deaths were reported every day in the last month.",negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
i do hope this is fake news..,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
California Gov. Newsom has announced the nation's first coronavirus vaccine mandate for schoolchildren. The plan won'…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
I thought these were lil smokies.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
↓,neutral
Maine 22 percent,positive
👈🏼💦,neutral
India Covid-19 Update Active Caseload Lowest In 197 Days COVID19 coronavirus covid19india,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
Pfizer &amp; Moderna…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Mr  lost big time today. 'National Cabinet' is not part of the Federal Cabinet. All of its decisions have…,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
WATCH Tucker Carlson delves into the extreme measures Australia has taken in response to the COVID-19 pandemic.,positive
65% say…,positive
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Funny how someone mentions the END of all this and people instantly fly into a frenzy.,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
👈🏼💦,neutral
"YOUTUBE CEO SAYS CENSORING VIDEOS ABOUT COVID-19 AND THE VACCINES IS A \"TOP PRIORITY\" AND THEY HAVE DELETED 1,000,000 VIDEOS! 💉🚫",negative
Pennsylvania 19…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Interesting because I learned today that the vax is ineffective for anyone with natural immunity. It should never be given to anyone who has already had covid. I'll try to follow up with more information tomorrow.,positive
35% population of Pkistan is fully covid-19 vacinated,positive
Bad news for the Left,negative
"",""
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
NonViolenceDay FIforHRC,neutral
Has he tested positive for sexual assault?,negative
"Report from an employee at AdvisorNet Financial Inc in HOPKINS, MN on Mar 30, 2021 \"1. The employer does not have a Covid-19 Preparedness Plan in place and/or available for employees. 2. The...",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Merck's experimental pill to treat covid-19,positive
More than 88.14 Crore vaccine doses provided to States/UTs.,negative
"* Local community cases 2,079",positive
"NEW CASES 2,909",positive
FreeSpeechThrottled SocialMedia YouTubeShorts,positive
Bet they push this on the Vaxx hesitant women,positive
‘All my friends are getting vacc…,negative
petition 13 Gorillas got COVID-19 from a zookeeper; demand all eligible zoo animals get the animal version of the vaccine…,negative
From the article.,positive
"",""
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
* Dormitory cases 818,positive
The news is pretty grim 🧵,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Best Governor! 👇,positive
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
↓,neutral
"",""
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Some good pandemic news?,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
"'Given the large number of fully vaccinated Israelis, some breakthrough cases were expected, health officials say, and a growing body of research has shown those who are unvaccinated face far higher risks of severe illness or death from a COVID-19 infection'",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
More than 5.28 Crore balance and unutilized vaccine doses still available with States/UTs.,negative
Bad news for the Left,negative
*…,positive
Vaccinated people disrupts the Covid-19 proteolysis cycle. That is key to stop the infection and mutations. All I know.  🤓...,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
"* Local community cases 2,079",positive
"",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
LOOKING FOR BLOOD DONATION,positive
👈🏼💦,neutral
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
"",""
Three COVID-19 pneumonia treated with ivermectin monotherapy. Dose 0.2 mg/kg every other day.,negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
* Dormitory cases 818,positive
If 15% of cases were hospitalized over…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
New South Wales has recorded more than 800 COVID-19 cases and 10 deaths. There have been 362 COVID-19 related deaths in…,negative
84.4% of COVID-19 patients had a vitamin D deficiency.,negative
"Children’s Physical Activity, Screen Time, and Mental Health During COVID-19  via  part of",positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Today is another day Taiwan's largest opposition party KMT staged boycott in the parliament over government's handling of…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
1. The COVID-19 survival rate for t…,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Agree!,positive
IDIOTS!  It's not personal politics. It's asking you to not cause pain to the people who love you. To not pass this virus to someone who can't be vaccinated. I'm fully aware my being vaccinated could save more than me. So sick of selfish people who think they are an island.,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
This will go into effect following full…,positive
"…. it is unclear how long FDA review will take, although Dean Li, head of Merck's research labs, said, \"they are going t…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Fact Check-Pre-print study that claimed 1 in 1,000 risk of myocarditis following COVID-19 vaccine was withdrawn due to miscalculation | Article [AMP] | Reuters",negative
"Being vaccinated against COVID-19 won’t automatically cause you to be 100% safe against the virus, but it will keep you…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"The World Health Organization  will be restarting its inquiry into the origins of the COVID-19 virus.The origin of the SARS-CoV-2 virus has become a major political issue across the globe, with multiple conspiracy theories still swirling around the topic.",negative
They defervesced soon af…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
