COVID19â€¦,neutral
This is why i support Modiâ€¦ he gives it back â€¦,positive
COVID-19 HEALTH ALE 2 October 2021,positive
GrabAJab,neutral
Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India â¬‡ï¸,positive
65% sayâ€¦,positive
"We set up 25 monoclonal antibody sites across Florida, and weâ€™ve seen about a 70% reduction in COVID-19 hospitalizationâ€¦",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
CCC in-person conference canceled for the second year in a row due to COVID-19,negative
"Active - 3,088 (509)â¬‡ï¸",positive
1. The COVID-19 survival rate for tâ€¦,negative
"We set up 25 monoclonal antibody sites across Florida, and weâ€™ve seen about a 70% reduction in COVID-19 hospitalizationâ€¦",negative
Have you not yet had your first or second dose of the COVID-19 vaccination? ğŸ’‰ The vaccine is the best way to protect yoursâ€¦,positive
COVID-19 pill could cure pandemic and give people normal lives again according to experts | News Break,negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
Premier League clubs are becoming concerned as they struggle to get some of their stars to accept the COVID-19 vaccineâ€¦,negative
This nurse got fired after hooking up with a COVID-19 patientâ€¦ ğŸ‘€,negative
Covid19IndiaHelp,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due toâ€¦,negative
"Molnupiravir, a drug developed by Merck, could be the first oral antiviral medicine for covid-19 - The Washington Postâ€¦",negative
Clovis parents are crying and throwing up rn.,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spiceâ€¦,positive
2nd CircuitÂ  Court of Appeals temporarily blocks COVID-19 vaccine mandate for NY health workers seeking religious exemptiâ€¦,negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDAâ€¦,negative
New research identifies 6 ways COVID-19 risk was expressed on  during early stages of pandemic. Crspndng authoâ€¦,negative
This nurse got fired after hooking up with a COVID-19 patientâ€¦ ğŸ‘€,negative
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
Cases of heart inflammation higher after Moderna COVID-19 vaccine Health Canada â€“Â National,negative
11am (why) I'm gonna barbeque with COVID-19 Negative,negative
â€¢ Severe - 124,negative
IT IS Zuma WHO IS SUPPOSED TO PAY BACK THAT MONEY.,negative
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
"",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
â€¢ Criticâ€¦,positive
"Don't be a moron. Don't listen to lying or just plain dumb morons. Get the f-ing vaccine! Op-Ed On the front lines, herâ€¦",negative
Can clearly see her hand like shocked for a while there,negative
I donâ€™t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringeâ€¦,negative
This nurse got fired after hooking up with a COVID-19 patientâ€¦ ğŸ‘€,negative
IT'S HIS RESPONâ€¦,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
â†“,neutral
â†“,neutral
ultimate,positive
This nurse got fired after hooking up with a COVID-19 patientâ€¦ ğŸ‘€,negative
Super simple poll.,positive
ğŸ‘ˆğŸ¼ğŸ’¦,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due toâ€¦,negative
Can someone please make it make sense.,negative
If you atâ€¦,positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesnâ€™t mean itâ€¦",positive
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown  via",negative
READ US President Joe Biden hailed Fil-Amsâ€™ contribution as frontliners in the fight against Covid-19 pandemic in hisâ€¦,negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients sâ€¦",negative
Candidemia in ICU admitted COVID-19 patients; our experience. Indian Journal of Critical Care Medicine,negative
"Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help  via",negative
Might that be because so many nationalists are landlords themselves ?,negative
"Can't imagine how doctors do it. Telling an employee the covid-19 test is positive is mentally straining. Doing it over and again, painful.",negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"Am I fully vaccinated without a COVID-19 vaccine booster? Yes, people who got a two-dose vaccine or the single-dose Johnson &amp; Johnsâ€¦",negative
"CNN OnÂ Friday, the United States passedÂ 700,000 deaths from Covid-19,Â 108 days after it reached 600,000 Covid-19 deaths.",negative
"âŒ ğ—›ğ—˜ğ—”ğ——ğ—Ÿğ—œğ—¡ğ—˜ COVID-19 deaths eclipse 700,000 in US as delta variant rages Tens of millions of Americans have refused to get vaccinated, allowing the highly contagious delta variant to tear through the country.     VIA  - Â©",negative
"Covid-19 antiviral pill could be a game changer, but vaccines are still Americaâ€™s way out of the pandemic, experts say â€“Â CNN",negative
The new COVID-19 pill ğŸ’Š thatâ€™s more than likely ivermectin in a new look and package.,negative
"Have you not yet had your first or second dose of the COVID-19 vaccination? ğŸ’‰ The vaccine is the best way to protect yourself, your loved ones, and your local community. â¤ï¸",positive
ğŸ‘ˆğŸ¼ğŸ’¦,neutral
This nurse got fired after hooking up with a COVID-19 patientâ€¦ ğŸ‘€,negative
65% sayâ€¦,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilationâ€¦,negative
UPDATE COVID-19 cases in Ghana,negative
â†“,neutral
This will go into effect following fullâ€¦,positive
COVID-19 absolutely did not do that.,negative
Is Covid-19 more lethal in a funeral??,negative
â†“,neutral
(22 Sep - 27 Sep),positive
ğŸ‘ˆğŸ¼ğŸ’¦,neutral
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
Why max 100 people in a Funeral but max 75â€¦,negative
"Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help",negative
World Bank approves $400m credit for Nigeria to scale up COVID-19Â vaccination,positive
Increasingly looking like Irish Public Health have decided to let Covid-19 Rip through our children. So sad. So cross!,negative
"2/2  the common good may recommend vaccination, especially to protect the weakest and most exposed.\" Pope Francis took this advice to heart by taking Pfizer's COVID-19 vaccine.",positive
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
Book an appointment here â¡ï¸,positive
â†“,neutral
ğŸ‘ˆğŸ¼ğŸ’¦,neutral
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus andâ€¦,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The developing world's brain-dead response to COVID-19 - which consisted of pretenâ€¦,positive
"â€œWe felt that it was important for rest facilities to be available from the opening of the hospital, especially with the dâ€¦",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
ğŸ‘ˆğŸ¼ğŸ’¦,neutral
I donâ€™t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringeâ€¦,negative
I keep thinking about how the movie contagion is getting even more real,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings fromâ€¦,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helâ€¦,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organisingâ€¦,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leaderâ€¦",negative
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
Super simple poll.,positive
"Confirmed - 127,482 (861)",positive
Why hasn't ivermectin been submitâ€¦,negative
JCP issues proposal for COVID-19 countermeasures at childcare centers,positive
I STRONGLY FEEL MINENTLE IS BEING TAKEN FOR A RIDE HERE.,positive
