The head of Alberta Health…,positive
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
My daughter was already injured by vaccines and is autistic. She's not getting vaxxed. Does that mean she can't go to sch…,negative
FreeCovidVaccination,neutral
UPDATES,positive
"USA TODAY 'Cannot believe we are here' US hits 700,000  COVID-19 deaths",negative
A major…,positive
Heart inflammation after COVID-19 shots higher than expected in study of U.S. military | Reuters,negative
Dallas ISD’s custodians have been at the frontline of the district’s efforts to keep students and staff safe from the sp…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
EXCLUSIVE An Eau Claire high school student is engaging in civil disobedience to protest what she and her mother clai…,positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
The clock is ticking for a River Region pharmacy before hundreds of their COVID-19 vaccines go to waste.,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Not the height😂😂😂😂,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
oh no i hope he doesn’t die 💔💔 that would be horrible 💔💔,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
The pill (82) is called molnupiravir. It cuts the risk of hospitalization or death in patients with mild to moderate COVID-19 by about 50%. Trump took a like drug called VEKLURY or remdesivir an anti-viral which is also effective.  Nuts-jobs? That’s Gen. Milley and Anne Coulter.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Not good. Not good at all.,negative
This will go into effect following full…,positive
It is not acceptable at all. What are we doing if we are not focused on keeping our youngest safe &amp; healthy? ableg,positive
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
The Director of the Prairie Valley School Division has issued a statement on Saskatchewan's revised COVID-19 Public He…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
↓,neutral
Have questio…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"No Jab? No Service. Doctors Flip The Script On Covid-19 Vaccine Mandate.                                          FIND A NEW DOC QUICK!If doc demands to have, demand to see original med license! With all the controversy, (a) he can’t read, (b) stupid or …",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"After COVID-19 precluded the university’s holding its traditional Commencement ceremony in Spring 2020, Tufts is now p…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
Bad news for the Left,negative
1. The COVID-19 survival rate for t…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Clay Travis  discusses Fauci's failed predictions regarding packed sports stadiums and COVID-19,negative
"California to require all schoolchildren to get COVID shots; US COVID-19 death toll nears 700,000  v…",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
“A large team of researchers affiliated with a host of institutions in the U.K. and Brazil has partially solved the mystery o…,positive
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Nagaland issues COVID-19 guidelines in wake of Durga Puja celebrations,negative
Relevant to the debate of Americans being eligible for boosters when the rest of the world has not yet received a COVID va…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
"My partner, a black woman, first generation college grad. She became a clinical research nurse. Worked through the pandemic on COVID-19 vaccine clinical trials. Literally saving the world and yet drowning in student loans. In what world is that right?! CancelStudentDebt",negative
Ron DeSantis is the COVID murderer.,positive
"Celine returns to Las Vegas with a brand new show at  The production opens November 5, 2021 with a special open…",positive
"Sadly, NSW Health is today reporting the deaths of 10 people with COVID-19 – six men and four women",negative
"Thailand logged 87 more fatalities and 11,375 new Covid-19 cases during the previous 24 hours, the Public Health Minis…",negative
i tell all my covid-19 takes in person to  rather than online because I don't like accountability for my past views,positive
Now they’re admitting ‘natural immunity’ after ⁦⁩ censored it &amp; many were fired without that last option.“Senate bi…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
This will go into effect following full…,positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Growth in 7D US Confirmed Covid Deaths by County For LA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Singapore reported new daily record of 2,909 new Covid-19 cases &amp; 8 more Covid-19 deaths, death toll exceeds 100. This brings the total number of Covid-19 cases reported in Singapore to 99,430",negative
"Over a billion people have safely taken the COVID-19 vaccine, but  is still doing his own research.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
During class we learned about the company STR. It was interesting to learning about how COVID-19 impacted the hospitality industry and how the data was collected by the company. Post4Points6,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1. The COVID-19 survival rate for t…,negative
Use the Covid-19 funds to save the lives of the Alabama people! WTH!,negative
Potential charges on Lt Col Scheller,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Here’s the thing the PM hasn’t addressed- will health insurance, travel insurance cover any and all covid related illnesses?…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
Super simple poll.,positive
Super simple poll.,positive
1. The COVID-19 survival rate for t…,negative
Control group?,negative
why are some ppl only (rightly) getting annoyed about uneven application when it's Brian Tamaki in the spotlight but were dead quiet about the gang tangi yesterday?,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
The former  chief  m…,positive
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Please get vaccinated. Info on COVID-19 here,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"US COVID-19 death toll eclipses 700,000",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"LOOK Victoriano Inte, a barangay staff from Pasay City, would file his certificate of candidacy for president.",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"This is bullshit and you know it. They were labeling every death possible as covid related, the flu no longer exists, and the numbers are as fake as Biden's vote count.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
65% say…,positive
But why the height? 😂😂😂😂,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
And Fox News also required all staff to report their COVID-19 vaccine status.,negative
"As a very pro-vaccine physician, this is not a good idea.",negative
1. The COVID-19 survival rate for t…,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the informed from the terminally gullible.,negative
Meet a few of the Jews keeping humanity safe and healthy amid the deadly COVID-19 pandemic with our latest InfoTable.…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
65% say…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
"They only admit what they’re forced to admit and then they do so begrudgingly while minimizing it. Truth is they are killing more people than they save. In fact, it might be that they only temporarily delay death for some at the cost of accelerating death for the many.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"",""
COVID-19,neutral
↓,neutral
"According to Inte, he wants to eliminate COVID-19 and revive the economy. | via  COCfiling PHVote WeDecide",positive
👉,neutral
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Excess coverage of entity that is 95% vaccinated.  Cover the dumbos in the South and their dumb murderous Governors.,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
The news is pretty grim 🧵,negative
↓,neutral
👈🏼💦,neutral
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"WASHINGTON US fatalities from Covid-19 surpassed 700,000 on Friday, according to figures from Johns Hopkins Universit…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
"There are more than 500 COVID-19 testing locations across NSW, many of which are open seven days a week. To find your neares…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
Demon,neutral
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
This is government overreach on an unpre…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
See the full breakdown by age,positive
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Just submitted a paper that has taken 9+ months of work for 14 authors on the IFR of COVID-19 in developing countries. Some pret…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
