The former  chief  m…,positive
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
"Lysine Therapy -- \"Virologists Report Poor Man’s Amino Acid Cure for Covid-19 Would Abolish Need for Vaccines\"",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"US COVID-19 death toll eclipses 700,000",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Health Minister Joe Phaahla says the SIU is working hard to bring people responsible for COVID-19 corruption to book. DStv403 e…,negative
Meet a few of the Jews keeping humanity safe and healthy amid the deadly COVID-19 pandemic with our latest InfoTable.…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Requiring vaccination against deadly diseases at our workplaces &amp; our schools is not “fascist.” Or “communist.” It’s not ev…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Tracking every case of COVID-19 in Canada  via,negative
"Thomas, 15, high school student.",positive
before the FDA approves the…,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
First cut-off at SRCC for BCom hons is 100%. English hons cut off at Hansraj is 99%. We can talk about educational inequity in our vacuums but this is the reality. Because erasing COVID-19 and it’s impact on students by forging unnecessary standards is what’s going to help.,negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Yes, but in 1918 we didn’t have the medical technology we have now. If we had the same medical technology now, that we had in 1918, the death rate from COVID-19 would be much higher. Comparing the two is a little bit like comparing apples to oranges because of our advancements.",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Happy,positive
among Medica…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"700,000. I read elsewhere that is more than the number of Americans who died during World War I, World War II, the Korean War and the Vietnam War combined.",negative
Appreciate this clear and specific headline from my col…,positive
"\"EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition\"",negative
To se…,neutral
Journalists Face Disaster as COVID-19 Deaths Drop,negative
💥 LOVING all these Sportsmen speaking out! 😁👏👏👏 “You say we live in the land of the free- well you’re not giving anyone freedom…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"While DeltaVariant surged in the US, areas w/ lower COVID19 vaccination rates had higher cases, hospitalizations &amp; death…",negative
"As of October 1, the cumulative number of COVID-19 deaths in the United States exceeded 700,000. I just want to say what a shock! So many people can die in peace. Both the US government and the American people need to reflect.",negative
DOGE/USDT(Binance) 0.2168,positive
This will go into effect following full…,positive
"“If you want to attack someone, attack me.”",positive
China has more than 80 percent of its…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Our own  in ’s story this morning highlighting the inequalities in the vaccine rollout and the…,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid island's 10-day quarantine,negative
World,neutral
We need lea…,negative
"THIS 👇this is what I presented to  Board in early August. PUSD could have shown true leadership and been the 1st district in the nation, to be Bold Leaders, yet they fought and argued every step of the way, afraid to make a decision  1/",positive
"Last line  \"In conclusion, our study suggests that asymptomatic cases are unlikely to contribute substantially to the spread of SARS-CoV-2. COVID-19 cases should be detected and managed early to quarantine close contacts immediately and prevent presymptomatic transmissions.\"",negative
Why does someone who already had Covid-19 need to get the shot?,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
COVID19 COVID19Vic America,positive
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"I think Joe doesn't have a handle on  much, but the increase in death numbers probably earned him a hefty retirement bonus from the Rothchilds...🙏❤🇺🇸",positive
"Since August 9, 2021, 100% of the patients admitted to Southlake's ICU with COVID-19 have been unvaccinated. (4/4)",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"\"Early combination therapy with hydroxychloroquine and azithromycin reduces mortality in 10,429 COVID-19 outpatients.\"",positive
"Yes  - awesome work. Wake up world, it’s time for reparations. 💰",positive
"The epic COVID-19 memorial on the National Mall, in one stunning photo  via",positive
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
The solution to covid-19 is a threat to the world Forum Agenda and WHO agenda of 2021. These people are the devils.,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
‘All my friends are getting vacc…,negative
…Nuremberg Trials 2.0,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We're proud of  for being an important public face for family medicine physicians who are key in confronting misin…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
CDC LIED about deaths. CDC owns virus patent &amp; gets Pharma royalties,negative
👉👉👉Check Price,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
"",""
Daughter is one of the statisticians on this paper. Main takeaway is that - contrary to prior reporting - COVID death rates are significantly higher in developing countries particularly for the 20-40 age range. Implication is we should share vaccines.,negative
"Jesse Jackson one of the first to get vaccinated and a much publicized vaccination, was hospitalized with…",negative
Can someone please make it make sense.,negative
Farm Animals,positive
🇺🇲 💔,positive
Rare. 🙄,positive
Super simple poll.,positive
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
&lt;Headline News&gt;,positive
California Governor Gavin Newsom addresses pushback against his K-12 COVID-…,negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP g…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
Is Covid-19 more lethal in a funeral??,negative
Day,positive
65% say…,positive
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
"",positive
"",""
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
$PFE $BNTX Pfizer submits data to FDA on COVID-19 vaccine for kids aged 5 to 11,negative
"So, we looked at the infection fatality rate (IFR) of COVID-19 in every place that we could find, using antibodies to estimate t…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Update on COVID-19 situation (1 Oct 2021),negative
WE WERE RIGHT In August 20…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times,negative
"",""
"\"Rural America\" = Trump red states.",neutral
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
this segment brought to you by Covid-19,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
This one costs $700 for a 10 day treatment or $70 per pill while Ivermectin costs $0.58 per pill. Follow the science?…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"As of October 1, the cumulative number of COVID-19 deaths in the United States exceeded 700,000. I just want to say what a shock! So many people can die in peace. Both the US government and the American people need to reflect.",negative
‘All my friends are getting vacc…,negative
"Pfizer and Moderna’s SEC filings specifically state that “Currently, mRNA is con…",positive
"latestnews U.S. reaches 700,000 deaths from COVID-19 as Delta variant hits unvaccinated - National |  -  (POST_EXCERPT}",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Molnupiravir reduces hospitalisation in high-risk Covid patients. It will be important who counted as 'high-risk' -- eg, if a…",positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Why max 100 people in a Funeral but max 75…,negative
Listo segunda dosis covid-19 CDMX ❤️,neutral
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
Free covid-19,positive
Sir every body knows that no COVID-19 had remained or any big reasons,positive
"U.S. reaches 700,000 deaths from COVID-19 as Delta variant hits unvaccinated",negative
So this anti-vaxxer acquaintance sent me YouTube videos on how natural immunity triggers a better response against Covid-19 and how Norway is dropping all restrictions and chooses to live with Covid-19 ...,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Ivermectin for Prophylaxis and Treatment of COVID-19 A Systematic Review and Meta-Analysis,negative
This is the vaccine that Jas…,positive
A must share!,positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
What happens now in highly vaccinated countries like Denmark? And what might Covid-19 look like once the pandemic is over?,negative
How many would've survived had they been offered Monoclonal antibody tx?,negative
↓,neutral
Super simple poll.,positive
"",""
"We have lost our patience , because we can't keep it…",negative
"Earlier today, I had a conversation with a Brickell resident who helps operate a small business here in Miami Dade. In 201…",positive
How Jared Kushner and Ivanka Trump 'hijacked' the White House's COVID-19 response -- according to Stephanie Grisham ht…,negative
A whistleblower has provided government data,negative
I t…,neutral
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
"20,000 Arizonans have lost their lives to COVID-19.",negative
FREE to patients who meet criteria se…,positive
My Grandpa is still smiling and happy. My Grandpa asks about Grandma every day because you don't remember Grandma has died of COVID-19 and I feel very sorry for my Grandpa.😭,negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
👈🏼💦,neutral
Covid-19 has sadly tested positive for Brett Kavanaugh.,negative
"CAF, Red Cross to assist Alberta with COVID-19 surge, strained health-care system, health minister says  As a Federal Health Minister Patricia Hajdu she is USELESS, IGNORANT, NO MORALS ,",negative
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
"On Friday, Gov. Beshear announced 4,118 newly reported cases of COVID-19 and a positivity rate that has decreased below…",negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
. and Forrest D. Colburn outline how Latin American governments can better serve the interests of their…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"Not ready for prime-time just yet, and not approved, but optimistic signs about a new oral antiviral medication which -…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Big Pharma is saving a lot of lives in this pandemic,negative
The number of COVID-19 patients for Myanmar on  is not correct anymore because there are a lot of patients that are not counted in official records.,negative
"Thomas, 15, high school student.",positive
65% say…,positive
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
doge musk dogecoin,positive
↓,neutral
"",""
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
America has a history of medically abusing Black people. No wonder many are wary of COVID-19 vaccines  via,negative
"\"The documents show there was some debate in military circles in the spring of 2020 about the widely circulated theory that C…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
I keep learning new things about Science,positive
"documenting 48,465 deaths",negative
"Concludes it is possibly useful in severe disease, &amp; rarely has serious adverse side effects. Why does  spread COVID-19 misinformation re horse drugs?",negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
"NO ETHICS, 0 INTEGRITY, SHE IS WORST THEN CRIMINAL!!!!!!!",negative
Yes...people has to stand up to stop this wicked actors on vaccine because covid-19 has nothing to do with this evil vaccine.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
Smac,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
Fair point.,positive
"100% VACCINE COMPLIANCE Children's National Hospital in D.C. has announced that 100% of its workforce, around 8,500 team membe…",negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP g…,negative
Singapore hits the highest daily number of Covid-19 cases since the start of the pandemic,negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Going to the NRL Grand Final? Haven't had your COVID-19 vaccine yet? Drop into one of our pop-up vaccine clinics at Sunc…,neutral
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
White kids were being released from juvenile detention centers at a far higher rate than their Black peers during the ear…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
A 🧵on this fantastic product from my colleagues over at . Top-line heavy-handedness &amp; quality/efficacy conc…,positive
"Shinpoong Pharmaceutical then stressed, \"We previously confirmed the safety of administration of pyramax in phase 2 clinical trials conducted in 113 mild or moderate COVID-19 patients, and in terms of efficacy,",negative
Clovis parents are crying and throwing up rn.,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying fro…",negative
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
"Like, politicians announce vaccine mandates for kids",negative
within 14 days of COVID-19 vaccination,negative
It’s devastating –– these are neighbors and loved ones.,negative
Appreciate this clear and specific headline from my col…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"As the number of COVID-19 cases in Mississippi declines, some schools have reinstated mask-optional restrictions for students and workers, but pediatricians warn that it's too soon to relax. mcj2030_1",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
"",""
&lt;DOGE Coin Price&gt;,positive
