This will go into effect following full…,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
What is in this Covid-19 vaccine that those who are hesitant on taking it up must be rebuked this much? A vaccine…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
"",positive
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
"India Records 26,727 New COVID-19 Cases, 13% Higher Than Yesterday",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
As a ex Staff Nurse of over 21 years i find this clip hilarious and somewhat sickening. It's precisely why i left the…,negative
"My first day reaction included headache, dizziness, nausea, lethargy. On day two, I was only lethargic.",negative
No.,negative
Happy month folks !,positive
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
This will go into effect following full…,positive
Prescribed blood thinners can help reduce hospitalizations related to COVID-19,negative
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
BREAKING California governor announces plan for nation's first statewide COVID vaccination requirement for all schoolchil…,negative
U.S. eyes Israeli military data for Pfizer COVID-19 booster safety,negative
Please share the truth is coming it has to come out that this whole scamdemic is fake it always has been and it’s the corruption of every complicit government that is driving it get this shared please,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
is a researcher and long covid survivor &amp; she is doing this survey to assess the quality…,positive
Prescribed blood thinners can help reduce hospitalizations related to COVID-19,negative
"",""
Via…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
California will be the first state to mandate Covid-19 vaccines for students under an order announced Friday,negative
"",positive
Don’t fo…,negative
One of the most striking impacts of COVID-19 has been the increased violence against women in many countries. Even in “nor…,negative
Thank you,positive
2 years of research beginning to pay off in evolving COVID-19 treatments,positive
They also didn't have a problem with the 16 vaccines that they had to have prior to the COVID-19 vaccine to gain employment in the medical field.,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Update on COVID-19 situation (1 Oct 2021),negative
Allegations that P…,positive
Awesome 💉💉💉,positive
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
More medical news at,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
BReaKtHrouGH cASe!,positive
Merck says experimental drug molnupiravir cuts worst effects of COVID-19 | CBC News,negative
"Ministers have now confirmed the infection fatality rate of COVID19 is 0.096%, comparable to flu.",negative
"For more up-to-date medical headlines, visit…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"\"summarize your personal experiences during the time of COvid-19 pandemic\" um... eat sleep repeat...???",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
via NaMo Ap…,positive
We're expecting a virtual talk from the Director of  Dr John Nkengasong during THS2021. He is  special e…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
World Bank approves $400m credit for Nigeria to scale up COVID-19 vaccination,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Khairy says Malaysia to procure Merck Covid-19 pills after study finds decrease in deaths, hospitalisation",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
CA hasn't even does this for teachers yet.,positive
The reg…,negative
1. Why is there such a huge push for people who don't need the c-vax to get it anyway?,positive
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
Satyagraha 4 Sushant,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"FDA advisers to review COVID-19 shots for young kids, boosters this month, Health News, ET HealthWorld",positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Thane Special Covid-19 vaccination drive for women, beggars, tribals and auto-rickshaw drivers",positive
Merck has announced its new COVID-19 antiviral pill molnupiravir — it acts as a mutagen that alters the virus genome during…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
"Finally a drug for COVID-19 by Merck, from Germany, is on the horizon. A viable option for people who don’t want the v…",negative
Chimioprophylaxie pour tous ?,positive
$HGEN watch the video! Lenzilumab Covid,positive
"China has banned international students for the past 2 years, most of the degrees need practical experience along with the…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
China has more than 80 percent of its…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
ASSAM RIFLES PROVIDES COVID RELIEF ASSISTANCE IN MANIPUR,negative
Charges have not yet been pr…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Social distancing measures in the spring of 2020 effectively curbed the COVID-19 pandemic in Germany, study finds",negative
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today’s COVID-19 updates,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Has nothing to do with safety. You will be judged harshly for harming people, including children and leading the destr…",positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"",""
"There's two statistics you need to remember, but the government wants you to forget",positive
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoretically be achieved at 50 ng/ml 25(OH)D3 Results of a systematic review and meta-analysis",positive
↓,neutral
Super simple poll.,positive
"",positive
"Due to Covid-19 and the Japanese economic crisis caused by the nuclear explosion, Fukuoka, where money is at stake worldwide from above, excluded all the main strikers, instructed the defenders to pass, and gave Shimizu a free victory to Shimizu, who won one away.",negative
"Over 3.56 billion people worldwide have received at least 1 dose of a Covid-19 vaccine but this party leader &amp; MP still wants them to be tested \"on animals first\". 🤔👀Despite denials,  is an antivaxxer &amp; his continued misinfo should be a source of concern for all MPs",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
CA hasn't even does this for teachers yet.,positive
This will go into effect following full…,positive
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Hotel rooms  COVID-19 disinfection protocol by  , 3rd location in progress .",positive
👈🏼💦,neutral
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
65% say…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Mantripukhri Battalion Assam Rifles on 30 Sep, leading fight a…",negative
"Taiwan's Health Minister says a relaxation of the mandatory wearing of face masks will be announced on Sunday because of the low number of domestic cases, but the ongoing Level 2 COVID-19 alert will be extended.",negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
Update on COVID-19 situation (1 Oct 2021),negative
Early cont…,negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
Canadian military used Covid-19 to test propaganda techniques on citizens  via OpIndia_com,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
NEW REPO,positive
"",""
Got my COVID-19 vaccination yellow card from Bureau of Quarantine. The other two were for my polio shot and routine immunization.,negative
"Ivermectin-deniers often attribute Uttar Pradesh's achievement in eradicating Covid-19 to \"high rate of vaccination\". Howeve…",positive
"Covid-19 deaths, from a transportation  perspective. This is easy to understand because the carnage is very public.",negative
1. The COVID-19 survival rate for t…,negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Working for.(1/2)",positive
